SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHNG,%CHNG,VOLUME,(shares),VALUE,(â‚¹ Crores),52W H,52W L,30 D,%CHNG,TODAY
NIFTY 50,"25,067.05","25,134.05","24,979.40","24,981.95","24,998.45",-,16.50,,"26,13,64,749","28,046.30","26,277.35","18,837.85",0.18,,,,
KOTAKBANK,"1,809.90","1,884.00","1,805.30","1,800.80","1,870.00",-,69.20,,"59,05,798","1,100.33","1,942.00","1,543.85",0.59,,,,
JSWSTEEL,999.00,"1,012.95",996.75,994.50,"1,012.85",-,18.35,,"13,68,830",137.33,"1,063.00",723.00,6.45,,,,
HDFCBANK,"1,639.00","1,665.45","1,632.50","1,633.15","1,661.00",-,27.85,,"1,08,77,383","1,794.08","1,794.00","1,363.55",-0.81,,,,
BEL,283.95,289.60,283.40,282.40,286.90,-,4.50,,"1,91,55,691",549.71,340.50,127.00,0.30,,,,
INDUSINDBK,"1,350.00","1,362.00","1,344.30","1,341.55","1,361.80",-,20.25,,"16,73,393",226.65,"1,694.50","1,329.20",-6.06,,,,
POWERGRID,330.20,338.10,330.10,329.75,334.35,-,4.60,,"2,07,73,976",694.49,366.25,195.70,0.37,,,,
MARUTI,"12,798.90","12,965.00","12,711.50","12,760.70","12,935.00",-,174.30,,"4,92,698",634.21,"13,680.00","9,737.65",5.06,,,,
NTPC,420.70,429.90,420.50,418.45,424.00,-,5.55,,"1,58,66,037",674.85,448.45,227.75,7.34,,,,
ADANIENT,"3,140.00","3,211.00","3,056.10","3,153.75","3,194.80",-,41.05,,"29,05,725",906.71,"3,743.90","2,142.00",6.40,,,,
M&M,"3,156.00","3,220.30","3,155.00","3,153.00","3,191.60",-,38.60,,"25,07,231",801.50,"3,222.10","1,450.00",16.40,,,,
AXISBANK,"1,177.00","1,191.00","1,175.05","1,170.15","1,183.70",-,13.55,,"68,06,243",805.70,"1,339.65",951.40,-0.06,,,,
HDFCLIFE,721.00,726.20,713.30,717.30,724.55,-,7.25,,"22,49,443",162.02,761.20,511.40,-2.51,,,,
ADANIPORTS,"1,417.00","1,430.05","1,406.85","1,408.15","1,417.60",-,9.45,,"16,28,495",230.69,"1,621.40",754.50,-1.93,,,,
ULTRACEMCO,"11,439.95","11,459.00","11,353.55","11,350.15","11,417.50",-,67.35,,"1,80,542",205.93,"12,138.00","8,105.00",-1.25,,,,
TATASTEEL,158.30,161.18,156.60,159.06,159.99,-,0.93,,"4,65,07,936",743.29,184.60,114.60,6.42,,,,
BAJAJFINSV,"1,874.80","1,887.85","1,860.00","1,866.95","1,876.50",-,9.55,,"12,09,065",226.82,"2,029.90","1,419.05",0.35,,,,
COALINDIA,488.70,493.95,486.05,486.95,489.30,-,2.35,,"47,00,891",230.08,543.55,287.80,0.52,,,,
BAJFINANCE,"7,320.00","7,368.00","7,273.00","7,300.45","7,329.00",-,28.55,,"5,59,427",409.81,"8,173.00","6,187.80",-0.64,,,,
BAJAJ-AUTO,"11,821.50","12,030.95","11,803.10","11,818.10","11,860.00",-,41.90,,"2,51,378",298.71,"12,774.00","5,002.20",8.95,,,,
HINDALCO,731.90,738.20,726.30,727.55,730.05,-,2.50,,"38,90,250",284.37,772.65,448.75,10.48,,,,
ONGC,288.70,292.15,287.55,288.50,289.40,-,0.90,,"72,37,212",209.61,345.00,179.90,-3.48,,,,
ITC,495.35,495.65,489.45,491.70,493.00,-,1.30,,"1,27,99,333",630.64,528.50,399.35,-3.92,,,,
HCLTECH,"1,820.00","1,839.95","1,797.00","1,809.70","1,812.00",-,2.30,,"37,53,869",681.86,"1,839.95","1,208.55",3.60,,,,
ICICIBANK,"1,246.75","1,254.70","1,238.00","1,244.15","1,244.00",-,-0.15,,"91,18,195","1,134.91","1,362.35",899.00,0.74,,,,
GRASIM,"2,717.95","2,739.45","2,711.10","2,715.75","2,714.75",-,-1.00,,"3,87,246",105.42,"2,877.75","1,828.05",0.20,,,,
SBIN,799.00,804.45,795.00,797.40,797.00,-,-0.40,,"1,02,41,015",818.44,912.00,543.20,1.68,,,,
SBILIFE,"1,745.15","1,754.45","1,729.55","1,737.40","1,736.00",-,-1.40,,"7,84,503",136.51,"1,936.00","1,279.80",-8.64,,,,
BHARTIARTL,"1,686.60","1,698.95","1,665.00","1,678.10","1,676.35",-,-1.75,,"50,47,657",844.95,"1,779.00",895.45,8.78,,,,
TATACONSUM,"1,117.80","1,129.00","1,111.40","1,117.80","1,116.35",-,-1.45,,"11,76,370",131.53,"1,256.44",863.37,-6.23,,,,
NESTLEIND,"2,529.00","2,531.70","2,506.00","2,516.00","2,510.00",-,-6.00,,"10,30,002",259.13,"2,778.00","2,282.54",-0.03,,,,
RELIANCE,"2,760.05","2,772.00","2,738.85","2,749.20","2,742.50",-,-6.70,,"1,11,79,323","3,073.97","3,217.60","2,220.30",-6.01,,,,
EICHERMOT,"4,737.80","4,769.00","4,690.00","4,708.90","4,696.40",-,-12.50,,"3,05,739",144.45,"5,105.00","3,275.00",-0.81,,,,
ASIANPAINT,"3,090.05","3,095.00","3,043.00","3,078.85","3,065.00",-,-13.85,,"11,61,933",355.49,"3,422.95","2,670.10",-6.15,,,,
HINDUNILVR,"2,770.00","2,787.40","2,733.20","2,768.95","2,755.00",-,-13.95,,"20,65,078",567.47,"3,035.00","2,172.05",-5.23,,,,
APOLLOHOSP,"7,054.95","7,055.05","6,884.05","7,008.90","6,971.00",-,-37.90,,"2,37,853",165.18,"7,316.95","4,726.00",2.16,,,,
TCS,"4,253.25","4,293.85","4,198.60","4,252.95","4,227.90",-,-25.05,,"23,78,875","1,009.31","4,592.25","3,311.00",-4.42,,,,
LT,"3,515.00","3,554.90","3,455.50","3,487.10","3,461.85",-,-25.25,,"26,86,116",937.92,"3,919.90","2,856.15",-2.55,,,,
TATAMOTORS,933.75,943.60,912.35,939.15,930.60,-,-8.55,,"1,32,49,851","1,235.14","1,179.00",617.60,-9.58,,,,
BPCL,342.00,343.30,334.55,338.85,335.65,-,-3.20,,"57,06,365",192.94,376.00,165.73,-2.57,,,,
WIPRO,535.00,537.60,523.45,531.15,526.10,-,-5.05,,"63,10,122",333.86,579.90,375.05,3.17,,,,
TITAN,"3,510.00","3,531.55","3,415.10","3,493.45","3,458.20",-,-35.25,,"14,88,328",515.26,"3,886.95","3,055.65",-5.19,,,,
DRREDDY,"6,698.00","6,698.00","6,553.70","6,664.85","6,581.00",-,-83.85,,"3,16,547",208.92,"7,107.45","5,205.55",0.13,,,,
SHRIRAMFIN,"3,400.00","3,415.95","3,325.90","3,387.95","3,342.00",-,-45.95,,"7,48,077",251.00,"3,652.25","1,760.85",2.18,,,,
BRITANNIA,"6,127.00","6,159.85","5,980.05","6,097.25","6,010.15",-,-87.10,,"2,87,475",173.33,"6,469.90","4,347.70",2.66,,,,
HEROMOTOCO,"5,588.00","5,594.95","5,445.00","5,554.60","5,462.15",-,-92.45,,"5,79,335",318.23,"6,246.25","2,966.00",-3.32,,,,
INFY,"1,957.90","1,964.00","1,914.10","1,952.75","1,917.55",-,-35.20,,"47,82,119",925.01,"1,977.00","1,351.65",3.07,,,,
SUNPHARMA,"1,929.60","1,937.95","1,883.90","1,930.85","1,894.90",-,-35.95,,"23,83,012",453.12,"1,960.35","1,068.35",5.98,,,,
TRENT,"8,200.00","8,270.95","8,012.00","8,220.85","8,035.00",-,-185.85,,"6,06,292",491.05,"8,322.20","1,945.00",15.19,,,,
TECHM,"1,673.00","1,675.95","1,611.35","1,658.80","1,612.00",-,-46.80,,"15,18,162",248.62,"1,675.95","1,098.15",5.04,,,,
CIPLA,"1,693.95","1,694.00","1,614.10","1,680.50","1,623.90",-,-56.60,,"22,88,313",375.73,"1,702.05","1,132.00",3.72,,,,
