PLAYER,TYPE,PRICE PAID,Year
Parthiv Patel,Wicket Keeper,17000000,2018
Moeen Ali,All-Rounder,17000000,2018
Mandeep Singh,All-Rounder,14000000,2018
Manan Vohra,Batsman,11000000,2018
Pawan Negi,All-Rounder,10000000,2018
Tim Southee,Bowler,10000000,2018
Kulwant Khejroliya,Bowler,8500000,2018
Aniket Choudhary,Bowler,3000000,2018
Pavan Deshpande,All-Rounder,2000000,2018
Anirudha Ashok Joshi,All-Rounder,2000000,2018
Manish Pandey,Batsman,110000000,2018
Rashid Khan Arman,Bowler,90000000,2018
Shikhar Dhawan,Batsman,52000000,2018
Wriddhiman Saha,Wicket Keeper,50000000,2018
Siddarth Kaul,Bowler,38000000,2018
Deepak Hooda,All-Rounder,36000000,2018
Syed Khaleel Ahmed,Bowler,30000000,2018
Sandeep Sharma,Bowler,30000000,2018
Kane Williamson,Batsman,30000000,2018
Carlos Brathwaite,All-Rounder,20000000,2018
Shakib Al Hasan,All-Rounder,20000000,2018
Yusuf Pathan,All-Rounder,19000000,2018
Shreevats Goswami,Wicket Keeper,10000000,2018
Mohammad Nabi,All-Rounder,10000000,2018
Chris Jordan,All-Rounder,10000000,2018
Basil Thampi,Bowler,9500000,2018
Billy Stanlake,Batsman,5000000,2018
T Natarajan,Bowler,4000000,2018
Sachin Baby,Batsman,2000000,2018
Bipul Sharma,All-Rounder,2000000,2018
Syed Mehdi Hasan,All-Rounder,2000000,2018
Ricky Bhui,Batsman,2000000,2018
Tanmay Agarwal,Batsman,2000000,2018
Mohit Sharma,Bowler,37500000,2019
Ruturaj Gaikwad,Batsman,36000000,2019
Colin Ingram,Batsman,1200000,2019
Axar Rajesh Patel,All-Rounder,1200000,2019
Hanuma Vihari,Batsman,1200000,2019
Sherfane Rutherford,All-Rounder,27000000,2019
Ishant Sharma,Bowler,15600000,2019
Keemo Paul,All-Rounder,3000000,2019
Jalaj Saxena,All-Rounder,30000000,2019
Ankush Bains,Wicket Keeper,18000000,2019
Nathu Singh,Bowler,37500000,2019
Bandaru Ayyappa,Bowler,3000000,2019
Varun Chakaravarthy,All-Rounder,60000000,2019
Sam Curran,All-Rounder,27000000,2019
Mohammad Shami,Bowler,24000000,2019
Prabhsimran Singh,Wicket Keeper,6000000,2019
Nicolas Pooran,Wicket Keeper,3000000,2019
Moises Henriques,All-Rounder,43500000,2019
Hardus Viljoen,Bowler,42000000,2019
Darshan Nalkande,All-Rounder,40500000,2019
Sarfaraz Naushad Khan,All-Rounder,24000000,2019
Arshdeep Singh,Bowler,24000000,2019
Agnivesh Ayachi,All-Rounder,12600000,2019
Harpreet Brar,All-Rounder,1200000,2019
M. Ashwin,Bowler,31500000,2019
Carlos Brathwaite,All-Rounder,24000000,2019
Lockie Ferguson,Bowler,18000000,2019
Joe Denly,Batsman,17400000,2019
Harry Gurney,Bowler,9000000,2019
Nikhil Shankar Naik,Wicket Keeper,6000000,2019
Shrikant Mundhe,All-Rounder,3000000,2019
Prithvi Raj Yarra,Bowler,40500000,2019
Anrich Nortje,Bowler,25500000,2019
Barinder Singh Sran,Bowler,6000000,2019
Lasith Malinga,Bowler,6000000,2019
Yuvraj Singh,All-Rounder,6000000,2019
Anmolpreet Singh,Batsman,1200000,2019
Pankaj Jaswal,All-Rounder,2000000,2019
Rasikh Dar,Bowler,2000000,2019
Jaydev Unadkat,Bowler,84000000,2019
Varun Aaron,Bowler,24000000,2019
Oshane Thomas,Bowler,11000000,2019
Ashton Turner,All-Rounder,5000000,2019
Liam Livingstone,All-Rounder,5000000,2019
Shashank Singh,All-Rounder,3000000,2019
Riyan Parag,All-Rounder,2000000,2019
Manan Vohra,Batsman,2000000,2019
Shubham Ranjane,All-Rounder,2000000,2019
Shivam Dube,All-Rounder,50000000,2019
Shimron Hetmyer,Batsman,42000000,2019
Akshdeep Nath,All-Rounder,36000000,2019
Prayas Ray Barman,All-Rounder,15000000,2019
Himmat Singh,Batsman,6500000,2019
Gurkeerat Singh Mann,All-Rounder,5000000,2019
Heinrich Klaasen,Wicket Keeper,5000000,2019
Devdutt Padikkal,Batsman,2000000,2019
Milind Kumar,All-Rounder,2000000,2019
Jonny Bairstow,Wicket Keeper,22000000,2019
Wriddhiman Saha,Wicket Keeper,12000000,2019
Martin Guptill,Batsman,10000000,2019
Piyush Chawla,Bowler,37500000,2020
Sam Curran,All-Rounder,36000000,2020
Josh Hazlewood,Bowler,1200000,2020
R. Sai Kishore,Bowler,1200000,2020
Shimron Hetmyer,Batsman,1200000,2020
Marcus Stoinis,All-Rounder,27000000,2020
Alex Carey,Wicket Keeper,15600000,2020
Jason Roy,Batsman,3000000,2020
Chris Woakes,All-Rounder,30000000,2020
Mohit Sharma,Bowler,18000000,2020
Tushar Deshpande,Bowler,37500000,2020
Lalit Yadav,All-Rounder,3000000,2020
Glenn Maxwell,All-Rounder,60000000,2020
Sheldon Cottrell,Bowler,27000000,2020
Chris Jordan,All-Rounder,24000000,2020
Ravi Bishnoi,Bowler,6000000,2020
Prabhsimran Singh,Wicket Keeper,3000000,2020
Deepak Hooda,All-Rounder,43500000,2020
James Neesham,All-Rounder,42000000,2020
Tajinder Dhillon,All-Rounder,40500000,2020
Ishan Porel,Bowler,24000000,2020
Robin Uthappa,Batsman,24000000,2020
Jaydev Unadkat,Bowler,12600000,2020
Yashasvi Jaiswal,All-Rounder,1200000,2020
Kartik Tyagi,Bowler,31500000,2020
Tom Curran,All-Rounder,24000000,2020
Andrew Tye,Bowler,18000000,2020
Anuj Rawat,Wicket Keeper,17400000,2020
David Miller,Batsman,9000000,2020
Oshane Thomas,Bowler,6000000,2020
Anirudha Ashok Joshi,All-Rounder,3000000,2020
Akash Singh,Bowler,40500000,2020
Christopher Morris,All-Rounder,25500000,2020
Aaron Finch,Batsman,6000000,2020
Kane Richardson,Bowler,6000000,2020
Dale Steyn,Bowler,6000000,2020
Isuru Udana,All-Rounder,1200000,2020
Shahbaz Ahamad,Wicket Keeper,2000000,2020
Joshua Philippe,Wicket Keeper,2000000,2020
Pavan Deshpande,All-Rounder,2000000,2020
Mitchell Marsh,All-Rounder,20000000,2020
Priyam Garg,Batsman,19000000,2020
Virat Singh,Batsman,19000000,2020
Fabian Allen,All-Rounder,5000000,2020
Sandeep Bavanaka,All-Rounder,2000000,2020
Sanjay Yadav,All-Rounder,2000000,2020
Abdul Samad,All-Rounder,2000000,2020
Krishnappa Gowtham,All-Rounder,37500000,2021
Moeen Ali,All-Rounder,36000000,2021
Cheteshwar Pujara,Batsman,1200000,2021
K.Bhagath Varma,All-Rounder,1200000,2021
C Hari Nishaanth,Batsman,1200000,2021
M. Harisankar Reddy,Bowler,27000000,2021
Tom Curran,All-Rounder,15600000,2021
Steven Smith,Batsman,3000000,2021
Sam Billings,Wicket Keeper,30000000,2021
Umesh Yadav,Bowler,18000000,2021
Ripal Patel,All-Rounder,37500000,2021
Vishnu Vinod,Wicket Keeper,3000000,2021
Lukman Hussain Meriwala,Bowler,60000000,2021
M Siddharth,Bowler,27000000,2021
Shakib Al Hasan,All-Rounder,24000000,2021
Harbhajan Singh,Bowler,6000000,2021
Ben Cutting,All-Rounder,3000000,2021
Karun Nair,Batsman,43500000,2021
Pawan Negi,All-Rounder,42000000,2021
Venkatesh Iyer,All-Rounder,40500000,2021
Sheldon Jackson,Wicket Keeper,24000000,2021
Vaibhav Arora,Bowler,24000000,2021
Nathan Coulter-Nile,Bowler,12600000,2021
Adam Milne,Bowler,1200000,2021
Piyush Chawla,Bowler,31500000,2021
James Neesham,All-Rounder,24000000,2021
Yudhvir Charak,All-Rounder,18000000,2021
Marco Jansen,All-Rounder,17400000,2021
Arjun Tendulkar,All-Rounder,9000000,2021
Jhye Richardson,Bowler,6000000,2021
Riley Meredith,Bowler,3000000,2021
Shahrukh Khan,All-Rounder,40500000,2021
Moises Henriques,All-Rounder,25500000,2021
Dawid Malan,All-Rounder,6000000,2021
Fabian Allen,All-Rounder,6000000,2021
Jalaj Saxena,All-Rounder,6000000,2021
Saurabh Kumar,All-Rounder,1200000,2021
Utkarsh Singh,All-Rounder,2000000,2021
Christopher Morris,All-Rounder,162500000,2021
Shivam Dube,All-Rounder,44000000,2021
Chetan Sakariya,Bowler,12000000,2021
Mustafizur Rahman,Bowler,10000000,2021
Liam Livingstone,All-Rounder,7500000,2021
K.C Cariappa,Bowler,2000000,2021
Akash Singh,Bowler,2000000,2021
Kuldip Yadav,Bowler,2000000,2021
Kyle Jamieson,All-Rounder,150000000,2021
Glenn Maxwell,All-Rounder,142500000,2021
Dan Christian,All-Rounder,48000000,2021
Sachin Baby,Batsman,2000000,2021
Rajat Patidar,Batsman,2000000,2021
Mohammed Azharudeen,Wicket Keeper,2000000,2021
Suyash Prabhudesai,All-Rounder,2000000,2021
Kona Srikar Bharat,Wicket Keeper,2000000,2021
Kedar Jadhav,All-Rounder,20000000,2021
Mujeeb Zadran,Bowler,15000000,2021
J Suchith,Bowler,3000000,2021
Deepak Chahar,Bowler,37500000,2022
Ambati Rayudu,Wicket Keeper,36000000,2022
Dwayne Bravo,All-Rounder,1200000,2022
Shivam Dube,All-Rounder,1200000,2022
Chris Jordan,All-Rounder,1200000,2022
Robin Uthappa,Batsman,27000000,2022
Mitchell Santner,All-Rounder,15600000,2022
Adam Milne,Bowler,3000000,2022
Rajvardhan Hangargekar,All-Rounder,30000000,2022
Prashant Solanki,Bowler,18000000,2022
Devon Conway,Batsman,37500000,2022
Maheesh Theekshana,Bowler,3000000,2022
Dwaine Pretorius,All-Rounder,60000000,2022
C.Hari Nishaanth,Batsman,27000000,2022
N. Jagadeesan,Wicket Keeper,24000000,2022
K.M. Asif,Bowler,6000000,2022
Tushar Deshpande,Bowler,3000000,2022
Simarjeet Singh,Bowler,43500000,2022
Subhranshu Senapati,Batsman,42000000,2022
Mukesh Choudhary,Bowler,40500000,2022
K.Bhagath Varma,All-Rounder,24000000,2022
Shardul Thakur,Bowler,24000000,2022
Mitchell Marsh,All-Rounder,12600000,2022
David Warner,Batsman,1200000,2022
Syed Khaleel Ahmed,Bowler,31500000,2022
Chetan Sakariya,Bowler,24000000,2022
Rovman Powell,Batsman,18000000,2022
Mustafizur Rahman,Bowler,17400000,2022
Kuldeep Yadav,Bowler,9000000,2022
K.S. Bharat,Wicket Keeper,6000000,2022
Kamlesh Nagarkoti,All-Rounder,3000000,2022
Mandeep Singh,Batsman,40500000,2022
Lalit Yadav,All-Rounder,25500000,2022
Lungisani Ngidi,Bowler,6000000,2022
Yash Dhull,All-Rounder,6000000,2022
Tim Seifert,Wicket Keeper,6000000,2022
Pravin Dubey,All-Rounder,1200000,2022
Ashwin Hebbar,Batsman,2000000,2022
Sarfaraz Khan,All-Rounder,2000000,2022
Vicky Ostwal,All-Rounder,2000000,2022
Ripal Patel,All-Rounder,2000000,2022
Lockie Ferguson,Bowler,100000000,2022
Rahul Tewatia,All-Rounder,90000000,2022
Mohammad Shami,Bowler,62500000,2022
Yash Dayal,Bowler,32000000,2022
David Miller,Batsman,30000000,2022
R. Sai Kishore,Bowler,30000000,2022
Abhinav Sadarangani,Batsman,26000000,2022
Matthew Wade,Wicket Keeper,24000000,2022
Alzarri Joseph,Bowler,24000000,2022
Jason Roy,Batsman,20000000,2022
Wriddhiman Saha,Wicket Keeper,19000000,2022
Jayant Yadav,All-Rounder,17000000,2022
Vijay Shankar,All-Rounder,14000000,2022
Dominic Drakes,All-Rounder,11000000,2022
Gurkeerat Singh,All-Rounder,5000000,2022
Varun Aaron,Bowler,5000000,2022
Noor Ahmad,Bowler,3000000,2022
Darshan Nalkande,All-Rounder,2000000,2022
B. Sai Sudharsan,All-Rounder,2000000,2022
Pradeep Sangwan,All-Rounder,2000000,2022
Shreyas Iyer,Batsman,122500000,2022
Nitish Rana,All-Rounder,80000000,2022
Pat Cummins,All-Rounder,72500000,2022
Shivam Mavi,All-Rounder,72500000,2022
Sam Billings,Wicket Keeper,20000000,2022
Umesh Yadav,Bowler,20000000,2022
Alex Hales,Batsman,15000000,2022
Tim Southee,Bowler,15000000,2022
Mohammad Nabi,All-Rounder,10000000,2022
Ajinkya Rahane,Batsman,10000000,2022
Sheldon Jackson,Wicket Keeper,6000000,2022
Rinku Singh,Batsman,5500000,2022
Ashok Sharma,Bowler,5500000,2022
Chamika Karunaratne,All-Rounder,5000000,2022
Abhijeet Tomar,Batsman,4000000,2022
Anukul Roy,All-Rounder,2000000,2022
Rasikh Dar,Bowler,2000000,2022
Baba Indrajith,Wicket Keeper,2000000,2022
Aman Khan,All-Rounder,2000000,2022
Ramesh Kumar,Batsman,2000000,2022
Pratham Singh,Batsman,2000000,2022
Avesh Khan,Bowler,100000000,2022
Jason Holder,All-Rounder,87500000,2022
Krunal Pandya,All-Rounder,82500000,2022
Mark Wood,Bowler,75000000,2022
Quinton De Kock,Wicket Keeper,67500000,2022
Deepak Hooda,All-Rounder,57500000,2022
Manish Pandey,Batsman,46000000,2022
Dushmanta Chameera,Bowler,20000000,2022
Evin Lewis,Batsman,20000000,2022
K. Gowtham,All-Rounder,9000000,2022
Ankit Singh Rajpoot,Bowler,5000000,2022
Shahbaz Nadeem,Bowler,5000000,2022
Kyle Mayers,All-Rounder,5000000,2022
Manan Vohra,Batsman,2000000,2022
Mohsin Khan,Bowler,2000000,2022
Mayank Yadav,Bowler,2000000,2022
Ayush Badoni,All-Rounder,2000000,2022
Karan Sharma,All-Rounder,2000000,2022
Ishan Kishan,Wicket Keeper,152500000,2022
Tim David,All-Rounder,82500000,2022
Jofra Archer,All-Rounder,80000000,2022
Dewald Brevis,Batsman,30000000,2022
Daniel Sams,All-Rounder,26000000,2022
N. Tilak Varma,All-Rounder,17000000,2022
Murugan Ashwin,Bowler,16000000,2022
Tymal Mills,Bowler,15000000,2022
Jaydev Unadkat,Bowler,13000000,2022
Riley Meredith,Bowler,10000000,2022
Fabian Allen,All-Rounder,7500000,2022
Mayank Markande,Bowler,6500000,2022
Sanjay Yadav,All-Rounder,5000000,2022
Basil Thampi,Bowler,3000000,2022
Arjun Tendulkar,All-Rounder,3000000,2022
Anmolpreet Singh,Batsman,2000000,2022
Ramandeep Singh,All-Rounder,2000000,2022
Aryan Juyal,Wicket Keeper,2000000,2022
Rahul Buddhi,Batsman,2000000,2022
Hrithik Shokeen,All-Rounder,2000000,2022
Mohd. Arshad Khan,All-Rounder,2000000,2022
Liam Livingstone,All-Rounder,115000000,2022
Kagiso Rabada,Bowler,92500000,2022
Shahrukh Khan,All-Rounder,90000000,2022
Shikhar Dhawan,Batsman,82500000,2022
Jonny Bairstow,Wicket Keeper,67500000,2022
Odean Smith,All-Rounder,60000000,2022
Rahul Chahar,Bowler,52500000,2022
Harpreet Brar,All-Rounder,38000000,2022
Raj Angad Bawa,All-Rounder,20000000,2022
Vaibhav Arora,Bowler,20000000,2022
Nathan Ellis,Bowler,7500000,2022
Prabhsimran Singh,Wicket Keeper,6000000,2022
Rishi Dhawan,All-Rounder,5500000,2022
Sandeep Sharma,Bowler,5000000,2022
Bhanuka Rajapaksa,Batsman,5000000,2022
Benny Howell,All-Rounder,4000000,2022
Ishan Porel,Bowler,2500000,2022
Jitesh Sharma,Wicket Keeper,2000000,2022
Prerak Mankad,All-Rounder,2000000,2022
Atharva Taide,All-Rounder,2000000,2022
Writtick Chatterjee,All-Rounder,2000000,2022
Baltej Dhanda,Bowler,2000000,2022
Ansh Patel,All-Rounder,2000000,2022
Prasidh Krishna,Bowler,100000000,2022
Shimron Hetmyer,Batsman,85000000,2022
Trent Boult,Bowler,80000000,2022
Devdutt Padikkal,Batsman,77500000,2022
Yuzvendra Chahal,Bowler,65000000,2022
R. Ashwin,All-Rounder,50000000,2022
Riyan Parag,All-Rounder,38000000,2022
Navdeep Saini,Bowler,26000000,2022
Nathan Coulter-Nile,Bowler,20000000,2022
James Neesham,All-Rounder,15000000,2022
Karun Nair,Batsman,14000000,2022
Rassie Van Der Dussen,Batsman,10000000,2022
Daryl Mitchell,All-Rounder,7500000,2022
Obed Mccoy,Bowler,7500000,2022
K.C Cariappa,Bowler,3000000,2022
Kuldeep Sen,Bowler,2000000,2022
Dhruv Jurel,Wicket Keeper,2000000,2022
Tejas Baroka,Bowler,2000000,2022
Kuldip Yadav,Bowler,2000000,2022
Shubham Garhwal,All-Rounder,2000000,2022
Anunay Singh,All-Rounder,2000000,2022
Wanindu Hasaranga,All-Rounder,107500000,2022
Harshal Patel,All-Rounder,107500000,2022
Josh Hazlewood,Bowler,77500000,2022
Faf Du Plessis,Batsman,70000000,2022
Dinesh Karthik,Wicket Keeper,55000000,2022
Anuj Rawat,Wicket Keeper,34000000,2022
Shahbaz Ahamad,All-Rounder,24000000,2022
David Willey,All-Rounder,20000000,2022
Sherfane Rutherford,All-Rounder,10000000,2022
Mahipal Lomror,All-Rounder,9500000,2022
Finn Allen,Batsman,8000000,2022
Jason Behrendorff,Bowler,7500000,2022
Siddharth Kaul,Bowler,7500000,2022
Karn Sharma,Bowler,5000000,2022
Suyash Prabhudessai,All-Rounder,3000000,2022
Chama Milind,Bowler,2500000,2022
Akash Deep,Bowler,2000000,2022
Luvnith Sisodia,Wicket Keeper,2000000,2022
Aneeshwar Gautam,All-Rounder,2000000,2022
Nicholas Pooran,Wicket Keeper,107500000,2022
Washington Sundar,All-Rounder,87500000,2022
Rahul Tripathi,Batsman,85000000,2022
Romario Shepherd,All-Rounder,77500000,2022
Abhishek Sharma,All-Rounder,65000000,2022
Bhuvneshwar Kumar,Bowler,42000000,2022
Marco Jansen,All-Rounder,42000000,2022
T. Natarajan,Bowler,40000000,2022
Kartik Tyagi,Bowler,40000000,2022
Aiden Markram,Batsman,26000000,2022
Sean Abbott,Bowler,24000000,2022
Glenn Phillips,Wicket Keeper,15000000,2022
Shreyas Gopal,Bowler,7500000,2022
Vishnu Vinod,Wicket Keeper,5000000,2022
Fazalhaq Farooqi,Bowler,5000000,2022
Priyam Garg,Batsman,2000000,2022
Jagadeesha Suchith,Bowler,2000000,2022
R Samarth,Batsman,2000000,2022
Shashank Singh,All-Rounder,2000000,2022
Saurabh Dubey,Bowler,2000000,2022
Ben Stokes,All-Rounder,37500000,2023
Kyle Jamieson,Bowler,36000000,2023
Nishant Sindhu,All-Rounder,1200000,2023
Ajinkya Rahane,Batter,1200000,2023
Bhagath Varma,All-Rounder,1200000,2023
Ajay Mandal,All-Rounder,27000000,2023
Shaik Rasheed,Batter,15600000,2023
Mukesh Kumar,Bowler,3000000,2023
Rilee Rossouw,Batter,30000000,2023
Manish Pandey,Batter,18000000,2023
Phil Salt,Wicket-Keeper,37500000,2023
Ishant Sharma,Bowler,3000000,2023
Shivam Mavi,Bowler,60000000,2023
Joshua Little,Bowler,27000000,2023
Kane Williamson,Batter,24000000,2023
K.S. Bharat,Wicket-Keeper,6000000,2023
Mohit Sharma,Bowler,3000000,2023
Odean Smith,All-Rounder,43500000,2023
Urvil Patel,Wicket-Keeper,42000000,2023
Shakib Al Hasan,All-Rounder,40500000,2023
David Wiese,All-Rounder,24000000,2023
N. Jagadeesan,Wicket-Keeper,24000000,2023
Vaibhav Arora,Bowler,12600000,2023
Mandeep Singh,Batter,1200000,2023
Litton Das,Wicket-Keeper,31500000,2023
Kulwant Khejroliya,Bowler,24000000,2023
Suyash Sharma,Bowler,18000000,2023
Nicholas Pooran,Wicket-Keeper,17400000,2023
Daniel Sams,All-Rounder,9000000,2023
Amit Mishra,Bowler,6000000,2023
Romario Shepherd,All-Rounder,3000000,2023
Naveen Ul Haq,Bowler,40500000,2023
Jaydev Unadkat,Bowler,25500000,2023
Yash Thakur,Bowler,6000000,2023
Swapnil Singh,All-Rounder,6000000,2023
Yudhvir Charak,All-Rounder,6000000,2023
Prerak Mankad,All-Rounder,1200000,2023
Cameron Green,All-Rounder,175000000,2023
Jhye Richardson,Bowler,15000000,2023
Piyush Chawla,Bowler,5000000,2023
Nehal Wadhera,All-Rounder,2000000,2023
Raghav Goyal,Bowler,2000000,2023
Vishnu Vinod,Wicket-Keeper,2000000,2023
Duan Jansen,All-Rounder,2000000,2023
Shams Mulani,All-Rounder,2000000,2023
Sam Curran,All-Rounder,185000000,2023
Sikandar Raza,All-Rounder,5000000,2023
Harpreet Bhatia,Batter,4000000,2023
Shivam Singh,All-Rounder,2000000,2023
Vidwath Kaverappa,Bowler,2000000,2023
Mohit Rathee,All-Rounder,2000000,2023
Jason Holder,All-Rounder,57500000,2023
Adam Zampa,Bowler,15000000,2023
Joe Root,Batter,10000000,2023
Donovan Ferreira,Wicket-Keeper,5000000,2023
K.M. Asif,Bowler,3000000,2023
Abdul P A,All-Rounder,2000000,2023
Akash Vashisht,All-Rounder,2000000,2023
Kunal Rathore,Wicket-Keeper,2000000,2023
Murugan Ashwin,Bowler,2000000,2023
Will Jacks,Batter,32000000,2023
Reece Topley,Bowler,19000000,2023
Rajan Kumar,Bowler,7000000,2023
Avinash Singh,Bowler,6000000,2023
Sonu Yadav,All-Rounder,2000000,2023
Himanshu Sharma,Bowler,2000000,2023
Manoj Bhandage,All-Rounder,2000000,2023
Harry Brook,Batter,132500000,2023
Mayank Agarwal,Batter,82500000,2023
Heinrich Klaasen,Wicket-Keeper,52500000,2023
Vivrant Sharma,All-Rounder,26000000,2023
Adil Rashid,Bowler,20000000,2023
Mayank Dagar,All-Rounder,18000000,2023
Akeal Hosein,Bowler,10000000,2023
Mayank Markande,Bowler,5000000,2023
Upendra Singh Yadav,Wicket-Keeper,2500000,2023
Sanvir Singh,All-Rounder,2000000,2023
Anmolpreet Singh,Batter,2000000,2023
Samarth Vyas,All-Rounder,2000000,2023
Nitish Kumar Reddy,Wicket-Keeper,2000000,2023
Daryl Mitchell,All-Rounder,37500000,2024
Sameer Rizvi,Batter,36000000,2024
Shardul Thakur,All-Rounder,1200000,2024
Mustafizur Rahman,Bowler,1200000,2024
Rachin Ravindra,All-Rounder,1200000,2024
Avanish Rao Aravelly,Wicket-Keeper,27000000,2024
Kumar Kushagra,Wicket-Keeper,15600000,2024
Jhye Richardson,Bowler,3000000,2024
Harry Brook,Batter,30000000,2024
Sumit Kumar,All-Rounder,18000000,2024
Shai Hope,Wicket-Keeper,37500000,2024
Tristan Stubbs,Wicket-Keeper,3000000,2024
Ricky Bhui,Wicket-Keeper,60000000,2024
Swastik Chhikara,Batter,27000000,2024
Rasikh Dar,Bowler,24000000,2024
Spencer Johnson,Bowler,6000000,2024
Shahrukh Khan,All-Rounder,3000000,2024
Umesh Yadav,Bowler,43500000,2024
Robin Minz,Wicket-Keeper,42000000,2024
Sushant Mishra,Bowler,40500000,2024
Kartik Tyagi,Bowler,24000000,2024
Azmatullah Omarzai,All-Rounder,24000000,2024
Manav Suthar,Bowler,12600000,2024
Mitchell Starc,Bowler,1200000,2024
Mujeeb Rahman,Bowler,31500000,2024
Sherfane Rutherford,Batter,24000000,2024
Gus Atkinson,Bowler,18000000,2024
Manish Pandey,Batter,17400000,2024
K.S. Bharat,Wicket-Keeper,9000000,2024
Chetan Sakariya,Bowler,6000000,2024
Angkrish Raghuvanshi,Batter,3000000,2024
Ramandeep Singh,All-Rounder,40500000,2024
Sakib Hussain,Bowler,25500000,2024
Shivam Mavi,Bowler,6000000,2024
M. Siddharth,Bowler,6000000,2024
David Willey,All-Rounder,6000000,2024
Ashton Turner,Batter,1200000,2024
Arshin Kulkarni,All-Rounder,2000000,2024
Mohd. Arshad Khan,All-Rounder,2000000,2024
Gerald Coetzee,All-Rounder,50000000,2024
Nuwan Thushara,Bowler,48000000,2024
Dilshan Madushanka,Bowler,46000000,2024
Mohammad Nabi,All-Rounder,15000000,2024
Shreyas Gopal,Bowler,2000000,2024
Shivalik Sharma,All-Rounder,2000000,2024
Anshul Kamboj,All-Rounder,2000000,2024
Naman Dhir,All-Rounder,2000000,2024
Harshal Patel,All-Rounder,117500000,2024
Rilee Rossouw,Batter,80000000,2024
Chris Woakes,All-Rounder,42000000,2024
Tanay Thyagarajann,All-Rounder,2000000,2024
Vishwanath Pratap Singh,All-Rounder,2000000,2024
Ashutosh Sharma,All-Rounder,2000000,2024
Shashank Singh,Batter,2000000,2024
Prince Choudhary,Bowler,2000000,2024
Rovman Powell,Batter,74000000,2024
Shubham Dubey,Batter,58000000,2024
Nandre Burger,Bowler,5000000,2024
Tom Kohler-Cadmore,Wicket-Keeper,4000000,2024
Abid Mushtaq,All-Rounder,2000000,2024
Alzarri Joseph,Bowler,115000000,2024
Yash Dayal,Bowler,50000000,2024
Lockie Ferguson,Bowler,20000000,2024
Tom Curran,All-Rounder,15000000,2024
Saurav Chuahan,Batter,2000000,2024
Swapnil Singh,All-Rounder,2000000,2024
Pat Cummins,All-Rounder,205000000,2024
Travis Head,Batter,68000000,2024
Jaydev Unadkat,Bowler,16000000,2024
Wanindu Hasaranga,All-Rounder,15000000,2024
Jhathavedh Subramanyan,Bowler,2000000,2024
Akash Singh,Bowler,2000000,2024
