POS,PLAYER,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,4S,6S,Year,TEAM,Price,TYPE
2,Gautam Gambhir,534,14,14,1,86,41.07,379,140.89,0,5,68,8,2008,DC,31544750.0,Batsman
3,Sanath Jayasuriya,518,14,14,2,114*,43.16,309,167.63,1,2,58,31,2008,MI,42422250.0,Allrounder
4,Shane Watson,472,15,15,5,76*,47.2,311,151.76,0,4,47,19,2008,RR,5438750.0,Allrounder
5,Graeme Smith,441,11,11,2,91,49.0,362,121.82,0,3,54,8,2008,RR,10877500.0,Batsman
6,Adam Gilchrist,436,14,14,1,109*,33.53,318,137.1,1,3,51,19,2008,PBKS,30457000.0,Wicket keeper
7,Yusuf Pathan,435,16,15,1,68,31.07,243,179.01,0,4,43,25,2008,RR,20667250.0,Allrounder
8,Suresh Raina,421,16,14,3,55*,38.27,296,142.22,0,3,35,18,2008,CSK,28281500.0,Batsman
9,MS Dhoni,414,16,14,4,65,41.4,310,133.54,0,2,38,15,2008,CSK,65265000.0,Wicketkeeper
11,Rohit Sharma,404,13,12,1,76*,36.72,273,147.98,0,4,38,19,2008,DEC,32632500.0,Batsman
15,Kumar Sangakkara,320,10,9,0,94,35.55,198,161.61,0,4,41,8,2008,PBKS,30457000.0,Wicketkeeper-batsman
16,Robin Uthappa,320,14,14,5,48,35.55,279,114.69,0,0,34,9,2008,MI,34808000.0,Batsman
17,David Hussey,319,13,13,2,71,29.0,259,123.16,0,2,19,17,2008,KKR,27193750.0,Batsman
19,Parthiv Patel,302,13,13,2,54,27.45,297,101.68,0,2,42,3,2008,CSK,14140750.0,Wicketkeeper
22,Albie Morkel,241,13,10,3,71,34.42,163,147.85,0,1,18,14,2008,CSK,29369250.0,Allrounder
23,Mark Boucher,225,10,10,3,50*,32.14,177,127.11,0,1,24,6,2008,RCB,19579500.0,Wicketkeeper
24,James Hopes,221,11,11,0,71,20.09,148,149.32,0,2,27,8,2008,PBKS,13053000.0,Allrounder
26,Jacques Kallis,199,11,11,0,54,18.09,183,108.74,0,1,23,4,2008,RCB,39159000.0,Allrounder
27,Stephen Fleming,196,10,10,1,45,21.77,164,119.51,0,0,27,3,2008,CSK,15228500.0,Batsman
28,Salman Butt,193,7,7,0,73,27.57,161,119.87,0,1,30,2,2008,KKR,4351000.0,Batsman
30,Matthew Hayden,189,4,4,1,81,63.0,131,144.27,0,2,24,6,2008,CSK,16316250.0,Batsman
31,Brendon McCullum,188,4,4,1,158*,62.66,92,204.34,1,0,13,15,2008,KKR,30457000.0,Wicketkeeper
35,Mohammad Kaif,176,16,14,3,34*,16.0,171,102.92,0,0,14,6,2008,RR,29369250.0,Batsman
37,Herschelle Gibbs,167,9,9,0,47,18.55,153,109.15,0,0,17,8,2008,DEC,25018250.0,Batsman
38,Virat Kohli,165,13,12,1,38,15.0,157,105.09,0,0,18,4,2008,RCB,2175500.0,
40,Andrew Symonds,161,4,3,1,117*,80.5,105,153.33,1,0,15,9,2008,DEC,58738500.0,Allrounder
42,VVS Laxman,155,6,6,1,52,31.0,132,117.42,0,1,22,1,2008,DEC,16316250.0,Batsman
43,Luke Pomersbach,152,5,5,4,79*,152.0,99,153.53,0,1,13,9,2008,PBKS,2175500.0,Batsman
44,Ross Taylor,149,4,4,0,53,37.25,81,183.95,0,1,13,10,2008,RCB,4351000.0,Batsman
45,Shaun Pollock,147,13,8,0,33,18.37,111,132.43,0,0,12,8,2008,MI,23930500.0,Allrounder
47,Dinesh Karthik,145,13,8,2,56*,24.16,107,135.51,0,1,13,4,2008,DC,22842750.0,Wicketkeeper
49,Irfan Pathan,131,14,10,4,40,21.83,116,112.93,0,0,9,6,2008,PBKS,40246750.0,Allrounder
50,Kamran Akmal,128,6,6,1,53*,25.6,78,164.1,0,1,13,8,2008,RR,6526500.0,Wicketkeeper
52,Misbah-ul-Haq,117,8,8,1,47*,16.71,81,144.44,0,0,10,6,2008,RCB,5438750.0,Batsman
53,Wasim Jaffer,115,6,6,0,50,19.16,104,110.57,0,1,12,3,2008,RCB,6526500.0,Batsman
54,Cameron White,114,8,8,1,31*,16.28,102,111.76,0,0,8,4,2008,RCB,21755000.0,Allrounder
55,Scott Styris,112,8,8,2,36*,18.66,123,91.05,0,0,9,2,2008,DEC,7614250.0,Allrounder
58,Tillakaratne Dilshan,104,7,7,1,33,17.33,79,131.64,0,0,14,3,2008,DC,10877500.0,Allrounder
59,Manoj Tiwary,104,9,7,3,39,26.0,85,122.35,0,0,16,0,2008,DC,29369250.0,Batsman
63,AB de Villiers,95,6,6,1,26*,19.0,98,96.93,0,0,5,1,2008,DC,13053000.0,Wicketkeeper
64,Piyush Chawla,90,15,7,3,24*,22.5,59,152.54,0,0,10,3,2008,PBKS,17404000.0,Bowler
65,Shreevats Goswami,82,4,3,0,52,27.33,85,96.47,0,1,9,1,2008,RCB,1305300.0,
66,Shahid Afridi,81,10,9,1,33,10.12,46,176.08,0,0,7,6,2008,DEC,29369250.0,Allrounder
69,Shane Warne,70,15,7,2,22*,14.0,59,118.64,0,0,7,2,2008,RR,19579500.0,Bowler
70,Ajit Agarkar,54,9,6,1,20,10.8,46,117.39,0,0,5,2,2008,KKR,15228500.0,Allrounder
71,Shoaib Malik,52,7,5,1,24,13.0,47,110.63,0,0,5,0,2008,DC,21755000.0,Allrounder
78,Ricky Ponting,39,4,4,0,20,9.75,53,73.58,0,0,2,1,2008,KKR,17404000.0,Batsman
80,Umar Gul,39,6,4,1,24,13.0,19,205.26,0,0,1,5,2008,KKR,6526500.0,Bowler
82,Sohail Tanvir,36,11,5,2,13,12.0,29,124.13,0,0,3,1,2008,RR,4351000.0,Bowler
88,Zaheer Khan,34,11,8,4,17*,8.5,43,79.06,0,0,4,0,2008,RCB,19579500.0,Bowler
91,Harbhajan Singh,30,3,3,1,28,15.0,17,176.47,0,0,1,3,2008,MI,36983500.0,Bowler
92,Murali Kartik,30,6,3,0,17,10.0,27,111.11,0,0,3,0,2008,KKR,18491750.0,Bowler
93,Ramesh Powar,28,5,1,1,28*,0.0,21,133.33,0,0,4,1,2008,PBKS,7396700.0,Bowler
95,Saurabh Tiwary,26,3,2,0,17,13.0,20,130.0,0,0,3,1,2008,MI,2175500.0,
101,Chaminda Vaas,21,5,4,1,12*,7.0,18,116.66,0,0,0,1,2008,DEC,8702000.0,Bowler
103,Mohammad Hafeez,20,8,3,1,13,10.0,22,90.9,0,0,2,1,2008,KKR,4351000.0,All-rounder
106,Jacob Oram,18,4,3,2,13,18.0,12,150.0,0,0,1,1,2008,CSK,29369250.0,Allrounder
107,Brett Lee,17,4,3,2,16*,17.0,13,130.76,0,0,2,1,2008,PBKS,39159000.0,Bowler
109,Joginder Sharma,16,8,3,1,16,8.0,11,145.45,0,0,1,1,2008,CSK,9789750.0,Allrounder
112,Anil Kumble,13,10,5,3,8,6.5,17,76.47,0,0,1,0,2008,RCB,21755000.0,Bowler
114,Nuwan Zoysa,11,3,2,1,10*,11.0,9,122.22,0,0,1,0,2008,DEC,4786099.999999999,Bowler
115,Makhaya Ntini,11,9,2,1,11,11.0,18,61.11,0,0,2,0,2008,CSK,8702000.0,Bowler
116,Ishant Sharma,11,13,6,5,4*,11.0,11,100.0,0,0,1,0,2008,KKR,41334500.0,Bowler
117,Taruwar Kohli,10,2,2,0,7,5.0,15,66.66,0,0,0,1,2008,RR,1305300.0,
119,Dimitri Mascarenhas,9,1,1,0,9,9.0,8,112.5,0,0,0,1,2008,RR,4351000.0,Allrounder
120,Tanmay Srivastava,8,5,2,1,7,8.0,10,80.0,0,0,0,0,2008,PBKS,2175500.0,
129,Younis Khan,3,1,1,0,3,3.0,7,42.85,0,0,0,0,2008,RR,9789750.0,Batsman
131,Manish Pandey,3,3,2,0,3,1.5,9,33.33,0,0,0,0,2008,MI,1305300.0,
132,Mohammad Asif,3,8,2,0,3,1.5,6,50.0,0,0,0,0,2008,DC,28281500.0,Bowler
136,Shoaib Akhtar,2,3,1,0,2,2.0,7,28.57,0,0,0,0,2008,KKR,18491750.0,Bowler
137,Dilhara Fernando,2,5,1,1,2*,0.0,1,200.0,0,0,0,0,2008,MI,6526500.0,Bowler
138,Pradeep Sangwan,2,7,2,0,2,1.0,5,40.0,0,0,0,0,2008,DC,2175500.0,
139,Dale Steyn,2,10,2,1,1*,2.0,5,40.0,0,0,0,0,2008,RCB,14140750.0,Bowler
143,Iqbal Abdulla,1,1,1,1,1*,0.0,2,50.0,0,0,0,0,2008,KKR,1305300.0,
147,Abdur Razzak,0,1,1,1,0*,0.0,2,0.0,0,0,0,0,2008,RCB,2175500.0,Bowler
148,Abhinav Mukund,0,2,1,0,0*,0.0,1,0.0,0,0,0,0,2008,CSK,2175500.0,
150,Munaf Patel,0,15,2,2,0*,0.0,1,0.0,0,0,0,0,2008,RR,11965250.0,Bowler
4,JP Duminy,372,13,12,3,62,41.33,325,114.46,0,5,26,11,2009,MI,46550000.0,All-Rounder
24,Dwayne Smith,215,8,8,0,49,26.87,132,162.87,0,0,12,15,2009,DEC,4900000.0,All-Rounder
38,Ravi Bopara,138,5,5,0,84,27.6,119,115.96,0,1,8,7,2009,PBKS,22050000.0,All-Rounder
48,Kevin Pietersen,93,6,6,0,37,15.5,85,109.41,0,0,8,2,2009,RCB,75950000.0,Batsman
59,Andrew Flintoff,62,3,3,1,24,31.0,53,116.98,0,0,5,2,2009,CSK,75950000.0,All-Rounder
61,Jesse Ryder,56,5,5,0,32,11.2,49,114.28,0,0,9,0,2009,RCB,7840000.0,All-Rounder
67,George Bailey,45,3,2,0,30,22.5,39,115.38,0,0,7,0,2009,CSK,2450000.0,Batsman
98,Tyron Henderson,11,2,2,0,11,5.5,16,68.75,0,0,0,1,2009,RR,31850000.0,All-Rounder
115,Mashrafe Mortaza,2,1,1,1,2*,0.0,2,100.0,0,0,0,0,2009,KKR,29400000.0,Bowler
116,Mohammad Ashraful,2,1,1,0,2,2.0,10,20.0,0,0,0,0,2009,MI,3675000.0,Batsman
117,Thilan Thushara,2,2,2,1,1*,2.0,7,28.57,0,0,0,0,2009,CSK,6860000.0,Bowler
20,Brendon McCullum,357,13,13,0,81,27.46,275,129.81,0,1,35,16,2011,KTK,44100000.0,Batsman
29,Brad Hodge,285,14,14,6,51*,35.62,236,120.76,0,1,26,9,2011,KTK,23275000.0,Batsman
30,Ravindra Jadeja,283,14,12,3,47,31.44,228,124.12,0,0,20,14,2011,KTK,98000000.0,All-rounder
40,Parthiv Patel,202,14,13,3,37*,20.2,183,110.38,0,0,25,2,2011,KTK,31850000.0,Batsman
78,Vinay Kumar,50,13,7,1,18,8.33,47,106.38,0,0,4,1,2011,KTK,49000000.0,Bowler
107,Thisara Perera,23,4,2,0,22,11.5,27,85.18,0,0,4,0,2011,KTK,31850000.0,All-rounder
127,Ramesh Powar,11,5,3,2,8*,11.0,13,84.61,0,0,0,0,2011,KTK,7840000.0,All-rounder
144,Muttiah Muralitharan,5,5,1,1,5*,0.0,8,62.5,0,0,0,0,2011,KTK,10780000.0,Bowler
27,Brendon McCullum,289,12,12,0,56,24.08,283,102.12,0,1,37,3,2012,KKR,46800000.0,Batsman
36,Brad Hodge,245,12,12,4,48*,30.62,175,140.0,0,0,18,9,2012,RR,24700000.0,Batsman
47,Parthiv Patel,194,14,13,2,45,17.63,165,117.57,0,0,19,4,2012,DEC,33800000.0,Batsman
50,Ravindra Jadeja,191,19,14,2,48,15.91,151,126.49,0,0,13,9,2012,CSK,104000000.0,All-rounder
51,Azhar Mahmood,186,11,10,2,36,23.25,142,130.98,0,0,16,8,2012,PBKS,10400000.0,All-rounder
64,Daniel Harris,111,4,4,0,47,27.75,101,109.9,0,0,11,5,2012,DEC,3640000.0,Bowler
75,Herschelle Gibbs,81,3,3,1,66*,40.5,88,92.04,0,1,8,2,2012,MI,2600000.0,Batsman
80,Vinay Kumar,68,15,7,2,25,13.6,62,109.67,0,0,3,2,2012,RCB,52000000.0,Bowler
86,Andre Russell,47,4,2,0,31,23.5,26,180.76,0,0,3,3,2012,DC,23400000.0,All-rounder
91,Kevon Cooper,38,6,4,2,14,19.0,20,190.0,0,0,3,3,2012,RR,2600000.0,Bowler
98,Robin Peterson,32,5,5,2,16*,10.66,30,106.66,0,0,3,1,2012,MI,5200000.0,Bowler
118,Brad Hogg,15,9,3,1,13,7.5,16,93.75,0,0,1,0,2012,RR,9360000.0,Bowler
122,James Faulkner,14,2,2,1,11*,14.0,13,107.69,0,0,0,0,2012,PBKS,9880000.0,All-rounder
124,Doug Bracewell,12,1,1,1,12*,0.0,9,133.33,0,0,1,0,2012,DC,2600000.0,Bowler
130,Sunil Narine,9,15,2,1,9*,9.0,7,128.57,0,0,2,0,2012,KKR,36400000.0,Bowler
140,Muttiah Muralitharan,6,10,2,0,6,3.0,9,66.66,0,0,0,0,2012,RCB,11440000.0,Bowler
148,Thisara Perera,4,2,2,1,4*,4.0,9,44.44,0,0,0,0,2012,MI,33800000.0,All-rounder
38,Thisara Perera,233,16,14,4,40,23.3,163,142.94,0,0,12,14,2013,SRH,40500000.0,All-Rounder
44,Darren Sammy,174,10,9,3,60,29.0,132,131.81,0,1,11,10,2013,SRH,25500000.0,All-Rounder
46,Moises Henriques,165,10,9,5,44,41.25,125,132.0,0,0,20,3,2013,RCB,18000000.0,All-Rounder
79,Abhishek Nayar,66,11,9,3,25*,11.0,73,90.41,0,0,5,0,2013,PWI,40500000.0,All-Rounder
82,Luke Pomersbach,58,3,3,1,33*,29.0,59,98.3,0,0,5,1,2013,PBKS,18000000.0,Batsman
84,James Faulkner,57,16,9,4,19*,11.4,57,100.0,0,0,5,2,2013,RR,24000000.0,All-Rounder
86,Ricky Ponting,52,6,5,0,28,10.4,75,69.33,0,0,3,1,2013,MI,24000000.0,Batsman
91,Manpreet Gony,45,8,5,1,42,11.25,25,180.0,0,0,4,3,2013,PBKS,30000000.0,Bowler
93,Johan Botha,43,6,6,0,23,7.16,52,82.69,0,0,5,1,2013,DC,27000000.0,All-Rounder
97,Ravi Rampaul,38,10,6,2,23*,9.5,37,102.7,0,0,3,1,2013,RCB,17400000.0,Bowler
99,Glenn Maxwell,36,3,3,1,23,18.0,27,133.33,0,0,1,4,2013,MI,60000000.0,All-Rounder
101,Kane Richardson,34,3,2,0,26,17.0,36,94.44,0,0,2,1,2013,PWI,42000000.0,Bowler
104,Jeevan Mendis,23,3,3,0,12,7.66,27,85.18,0,0,0,0,2013,DC,3000000.0,All-Rounder
123,Nathan Coulter-Nile,9,1,1,0,9,9.0,6,150.0,0,0,0,1,2013,MI,27000000.0,Bowler
144,Ben Laughlin,4,2,2,1,4*,4.0,9,44.44,0,0,0,0,2013,CSK,1200000.0,Bowler
148,Ryan McLaren,3,2,2,0,2,1.5,6,50.0,0,0,0,0,2013,KKR,3000000.0,Bowler
155,Ajantha Mendis,2,3,1,0,2,2.0,4,50.0,0,0,0,0,2013,PWI,43500000.0,Bowler
1,Robin Uthappa,660,16,16,1,83*,44.0,479,137.78,0,5,74,18,2014,KKR,50000000.0,Batsman
2,Dwayne Smith,566,16,16,0,79,35.37,416,136.05,0,5,50,34,2014,CSK,36000000.0,Batsman
3,Glenn Maxwell,552,16,16,0,95,34.5,294,187.75,0,4,48,36,2014,PBKS,60000000.0,All-Rounder
4,David Warner,528,14,14,3,90,48.0,375,140.8,0,6,39,24,2014,SRH,55000000.0,Batsman
6,Virender Sehwag,455,17,17,0,122,26.76,315,144.44,1,1,56,18,2014,PBKS,32000000.0,Batsman
9,Brendon McCullum,405,14,14,1,71*,31.15,333,121.62,0,3,32,19,2014,CSK,1200000.0,Wicket Keeper
10,Manish Pandey,401,16,16,3,94,30.84,340,117.94,0,2,35,10,2014,KKR,17000000.0,Batsman
15,Yuvraj Singh,376,14,14,3,83,34.18,278,135.25,0,3,22,28,2014,RCB,140000000.0,All-Rounder
17,Wriddhiman Saha,362,17,13,2,115*,32.9,249,145.38,1,2,33,18,2014,PBKS,22000000.0,Wicket Keeper
23,Karun Nair,330,11,11,1,73*,33.0,232,142.24,0,3,38,9,2014,RR,7500000.0,Batsman
24,Dinesh Karthik,325,14,14,0,69,23.21,258,125.96,0,3,28,11,2014,DC,6000000.0,Wicket Keeper
26,Aaron Finch,309,13,13,2,88*,28.09,263,117.49,0,2,31,9,2014,SRH,40000000.0,Batsman
28,Kevin Pietersen,294,11,11,1,58,29.4,233,126.18,0,1,34,7,2014,DC,3000000.0,Batsman
30,Yusuf Pathan,268,15,12,3,72,29.77,165,162.42,0,1,15,20,2014,KKR,32500000.0,All-Rounder
31,Corey Anderson,265,12,11,2,95*,29.44,181,146.4,0,1,21,15,2014,MI,45000000.0,All-Rounder
32,George Bailey,257,17,16,7,40*,28.55,190,135.26,0,0,19,10,2014,PBKS,32500000.0,Batsman
34,Naman Ojha,232,11,10,4,79*,38.66,161,144.09,0,1,14,17,2014,SRH,5000000.0,Wicket Keeper
35,Shakib Al Hasan,227,13,11,4,60,32.42,152,149.34,0,1,22,7,2014,KKR,28000000.0,All-Rounder
36,Michael Hussey,209,9,9,0,56,23.22,182,114.83,0,2,17,7,2014,MI,50000000.0,Batsman
37,Murali Vijay,207,11,11,0,52,18.81,192,107.81,0,1,20,5,2014,DC,43500000.0,Batsman
38,Parthiv Patel,205,12,12,2,57*,20.5,185,110.81,0,1,30,1,2014,RCB,14000000.0,Wicket Keeper
41,KL Rahul,166,11,8,0,46,20.75,164,101.21,0,0,12,3,2014,SRH,10000000.0,Batsman
42,Suryakumar Yadav,164,16,10,5,34,32.8,117,140.17,0,0,16,5,2014,KKR,7000000.0,Batsman
44,Manoj Tiwary,152,8,8,3,61*,30.4,118,128.81,0,1,14,4,2014,DC,24000000.0,Batsman
45,Jacques Kallis,151,8,7,1,72,25.16,129,117.05,0,1,13,4,2014,KKR,55000000.0,All-Rounder
46,Kedar Jadhav,149,10,10,5,37,29.8,101,147.52,0,0,13,7,2014,DC,24000000.0,Batsman
49,Aditya Tare,126,15,12,4,24,15.75,98,128.57,0,0,16,3,2014,MI,16000000.0,Wicket Keeper
50,Cheteshwar Pujara,125,6,6,1,40*,25.0,124,100.8,0,0,17,0,2014,PBKS,19000000.0,Batsman
54,Mayank Agarwal,115,8,8,0,31,14.37,91,126.37,0,0,12,3,2014,DC,17400000.0,Batsman
55,Darren Sammy,108,10,9,2,29,15.42,91,118.68,0,0,4,8,2014,SRH,35000000.0,All-Rounder
56,Yogesh Takawale,104,5,5,0,45,20.8,91,114.28,0,0,17,1,2014,RCB,1000000.0,Wicket Keeper
57,Brad Hodge,101,4,4,1,40,33.66,72,140.27,0,0,4,6,2014,RR,24000000.0,Batsman
58,Mitchell Starc,85,14,9,3,29,14.16,84,101.19,0,0,9,0,2014,RCB,50000000.0,Bowler
59,Rishi Dhawan,82,13,6,4,23*,41.0,75,109.33,0,0,8,1,2014,PBKS,30000000.0,All-Rounder
60,Sachin Rana,73,9,7,4,19*,24.33,65,112.3,0,0,7,1,2014,RCB,2000000.0,Bowler
61,Venugopal Rao,71,7,5,2,27,23.66,63,112.69,0,0,8,0,2014,SRH,5500000.0,Batsman
62,Shaun Marsh,70,2,2,0,40,35.0,52,134.61,0,0,7,3,2014,PBKS,22000000.0,Batsman
63,Rajat Bhatia,67,12,7,2,23,13.4,53,126.41,0,0,4,3,2014,RR,17000000.0,All-Rounder
65,Ross Taylor,59,4,4,1,43*,19.66,59,100.0,0,0,6,0,2014,DC,31500000.0,Batsman
66,Chris Lynn,58,2,2,0,45,29.0,49,118.36,0,0,5,3,2014,KKR,13000000.0,Batsman
67,Mitchell Johnson,56,14,8,5,16*,18.66,50,112.0,0,0,4,3,2014,PBKS,65000000.0,All-Rounder
68,Irfan Pathan,55,10,6,4,23*,27.5,54,101.85,0,0,5,0,2014,SRH,24000000.0,All-Rounder
70,Albie Morkel,45,7,5,2,16,15.0,41,109.75,0,0,1,3,2014,RCB,24000000.0,All-Rounder
72,Abhishek Nayar,43,5,4,1,23,14.33,47,91.48,0,0,5,1,2014,RR,10000000.0,All-Rounder
74,Karn Sharma,42,14,8,4,17*,10.5,29,144.82,0,0,1,3,2014,SRH,37500000.0,Bowler
75,Ben Dunk,40,3,3,0,20,13.33,35,114.28,0,0,7,0,2014,MI,2000000.0,Wicket Keeper
77,Kevon Cooper,39,5,5,2,32,13.0,26,150.0,0,0,2,3,2014,RR,3000000.0,All-Rounder
78,Dhawal Kulkarni,35,8,2,2,28*,0.0,25,140.0,0,0,1,2,2014,RR,11000000.0,Bowler
79,Varun Aaron,35,10,3,3,17*,0.0,34,102.94,0,0,2,1,2014,RCB,20000000.0,Bowler
80,Mithun Manhas,35,12,5,3,13*,17.5,23,152.17,0,0,3,1,2014,CSK,37500000.0,All-Rounder
82,Laxmi Ratan Shukla,31,5,3,0,21,10.33,38,81.57,0,0,2,1,2014,DC,9000000.0,All-Rounder
83,Piyush Chawla,31,11,5,2,17*,10.33,19,163.15,0,0,4,1,2014,KKR,42500000.0,Bowler
84,Vijay Zol,29,3,2,0,16,14.5,26,111.53,0,0,3,1,2014,RCB,3000000.0,Batsman
88,Rahul Shukla,18,3,3,2,14,18.0,21,85.71,0,0,2,0,2014,DC,6000000.0,Bowler
89,Jason Holder,16,1,1,0,16,16.0,12,133.33,0,0,2,1,2014,SRH,7500000.0,Bowler
90,Nic Maddinson,16,2,2,0,12,8.0,14,114.28,0,0,3,0,2014,RCB,5000000.0,Batsman
91,Rahul Tewatia,16,3,1,0,16,16.0,13,123.07,0,0,0,1,2014,RR,1000000.0,All-Rounder
92,Ravi Rampaul,13,2,1,0,13,13.0,13,100.0,0,0,0,1,2014,RCB,9000000.0,Bowler
93,Harshal Patel,13,3,3,1,6,6.5,7,185.71,0,0,1,1,2014,RCB,4000000.0,Bowler
94,Shreyas Gopal,11,4,1,0,11,11.0,10,110.0,0,0,1,0,2014,MI,1000000.0,Bowler
96,Moises Henriques,9,4,2,0,9,4.5,14,64.28,0,0,1,0,2014,SRH,10000000.0,All-Rounder
97,Ben Cutting,8,1,1,0,8,8.0,6,133.33,0,0,0,1,2014,RR,8000000.0,Bowler
100,Zaheer Khan,8,6,4,3,7*,8.0,7,114.28,0,0,0,1,2014,MI,26000000.0,Bowler
101,Shahbaz Nadeem,7,11,3,1,3*,3.5,19,36.84,0,0,0,0,2014,DC,40500000.0,Bowler
102,Shivam Sharma,5,4,2,1,4,5.0,3,166.66,0,0,1,0,2014,PBKS,1000000.0,Bowler
103,Pravin Tambe,5,13,2,0,3,2.5,9,55.55,0,0,0,0,2014,RR,1000000.0,Bowler
104,Dishant Yagnik,4,1,1,1,4*,0.0,6,66.66,0,0,0,0,2014,RR,3000000.0,Wicket Keeper
105,Tim Southee,4,3,1,0,4,4.0,4,100.0,0,0,1,0,2014,RR,12000000.0,Bowler
107,Ashok Dinda,4,9,3,2,2*,4.0,12,33.33,0,0,0,0,2014,RCB,15000000.0,Bowler
109,Amit Mishra,4,10,2,1,4*,4.0,7,57.14,0,0,0,0,2014,SRH,1000000.0,Bowler
109,Amit Mishra,4,10,2,1,4*,4.0,7,57.14,0,0,0,0,2014,SRH,47500000.0,Bowler
110,Morne Morkel,4,12,2,2,4*,0.0,3,133.33,0,0,0,0,2014,KKR,28000000.0,Bowler
111,Manvinder Bisla,3,1,1,0,3,3.0,9,33.33,0,0,0,0,2014,KKR,6000000.0,Wicket Keeper
112,Srikkanth Anirudha,3,1,1,0,3,3.0,5,60.0,0,0,0,0,2014,SRH,2000000.0,Batsman
113,Mohammad Shami,3,12,4,2,1*,1.5,7,42.85,0,0,0,0,2014,DC,42000000.0,Bowler
114,Unmukt Chand,2,1,1,0,2,2.0,9,22.22,0,0,0,0,2014,RR,6500000.0,Batsman
115,Andre Russell,2,2,2,0,1,1.0,8,25.0,0,0,0,0,2014,KKR,6000000.0,All-Rounder
116,Siddarth Kaul,2,5,1,1,2*,0.0,2,100.0,0,0,0,0,2014,DC,6000000.0,Bowler
117,Wayne Parnell,2,8,2,1,2,2.0,2,100.0,0,0,0,0,2014,DC,3000000.0,Bowler
119,Sandeep Sharma,2,11,1,1,2*,0.0,5,40.0,0,0,0,0,2014,PBKS,8500000.0,Bowler
120,Umesh Yadav,2,12,1,0,2,2.0,4,50.0,0,0,0,0,2014,KKR,26000000.0,Bowler
122,Vikramjeet Malik,1,1,1,1,1*,0.0,2,50.0,0,0,0,0,2014,RR,2000000.0,Bowler
124,Karanveer Singh,1,5,1,1,1*,0.0,1,100.0,0,0,0,0,2014,PBKS,1000000.0,All-Rounder
125,Kane Richardson,1,7,1,0,1,1.0,2,50.0,0,0,0,0,2014,RR,10000000.0,Bowler
126,Jaydev Unadkat,1,9,2,1,1*,1.0,6,16.66,0,0,0,0,2014,DC,12600000.0,Bowler
127,Lakshmipathy Balaji,1,9,2,1,1*,1.0,3,33.33,0,0,0,0,2014,PBKS,18000000.0,Bowler
128,Jasprit Bumrah,1,11,2,2,1*,0.0,3,33.33,0,0,0,0,2014,MI,12000000.0,Bowler
129,Bhuvneshwar Kumar,1,14,2,1,1,1.0,4,25.0,0,0,0,0,2014,SRH,42500000.0,Bowler
131,Mohit Sharma,1,16,1,1,1*,0.0,3,33.33,0,0,0,0,2014,CSK,1200000.0,Bowler
132,Beuran Hendricks,0,3,1,0,0*,0.0,1,0.0,0,0,0,0,2014,PBKS,18000000.0,Bowler
8,Shreyas Iyer,439,14,14,1,83,33.76,342,128.36,0,4,41,21,2015,DC,60000000.0,Batsman
28,Murali Vijay,251,11,11,0,39,22.81,228,110.08,0,0,27,8,2015,PBKS,12600000.0,Batsman
30,Yuvraj Singh,248,14,13,0,57,19.07,210,118.09,0,2,23,10,2015,DC,30000000.0,Batsman
37,Eoin Morgan,187,9,9,1,63,23.37,151,123.84,0,1,11,11,2015,SRH,15000000.0,Batsman
